bucket_name_dev,bucket_name_prod,technical_owner_dev,business_owner_dev,technical_owner_prod,business_owner_prod
pf-aws-dev-s3-logs-us-west-2,oportun-train-s3-logs-us-west-2,,,,
oportun-build-elb-logs-us-west-2,oportun-training-elb-logs-us-west-2,,,,
aws-athena-query-results-761361480551-us-east-1,oportun-transcribe-results,DataEng,DataEng,,
oportun.rwc-security-logging-2,oportun.rwc-security-logging-1,Cyber Security,Gene Sexton,,
pf-atlassian-backup,paraisos-backup,Shared Services,Walter Ferreira,Telephony,Mario Rodriguez
http://www.orange-oscar-admin-us-west-2.dev.pfops.com,pf-admin-dbr,Sweepstakes,Luis Castaneda,,
pf-aws-prod,pf-aws-prod-keystore,,,,
pf-aws-build-s3-logs-us-standard,pf-aws-prod-s3-logs-us-standard,DevOps,DevOps,,
pf-aws-build-s3-logs-us-west-1,pf-aws-prod-s3-logs-us-west-1,DevOps,DevOps,,
pf-aws-dev-s3-logs-us-west-2,pf-aws-prod-s3-logs-us-west-2,,,,
pf-aws-build-keystore,pf-aws-stage-keystore,,,,
pf-aws-artifacts,pf-cloudability,DevOps,DevOps,,
pf-corp-navsrv2,pf-corp-navsrv1,,,,
test-data-science,pf-data-lae-test-doe-2454,,,,
pf-aws-dev,pf-dev-ssn-check,,,Engineering,
pf-aws-artifacts,pf-do-not-call,DevOps,DevOps,,
data-dev-data-platform,pf-loansum-pre-data,Data Engineering,Luis Casillas,,
pf-aws-artifacts,pf-mngmt-securitylog1,DevOps,DevOps,,
pf-aws-artifacts,pf-nav-parallel,DevOps,DevOps,,
pf-aws-artifacts,pf-nav-parallel-a,DevOps,DevOps,,
pf-aws-artifacts,pf-nav-parallel-c,DevOps,DevOps,,
pf-aws-artifacts,pf-navreports,DevOps,DevOps,,
pf-aws-prod,pf-prod-alert-logic-keys,,,,
pf-aws-prod-cloudtrail,pf-prod-cloudtrail-1,,,,
pf-aws-prod,pf-prod-windows-backups,,,,
pf-aws-prod,pf-reportingengine-reports-backup-prod,,,,
dev2-app-documentos,pf-stage-app-documentos,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
oportun-telephony,pf-telephony-extract,,,,
pf-aws-artifacts,pf-timecard,DevOps,DevOps,,
pf-aws-artifacts,pf-xactly,DevOps,DevOps,,
pf-database-updater,prd-database-updater,,,,
qa4-app-risk-credit-profiles,prod1-app-risk-credit-profiles,,,EngineeringNishant SononeNarasiman Ramamoorthy,
dev2-app-documentos,prod-app-documentos,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
qa1-app-documentos-replication,prod-app-documentos-replication,ZEUS application development teams,Engineering,EngineeringNishant SononeNarasiman Ramamoorthy,
dev1-app-jobs,prod-app-jobs,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
dev-doc-3425-jobs-replication,prod-app-jobs-replication,,,EngineeringNishant SononeNarasiman Ramamoorthy,
dev-dataplatform-1-s3-nzvr3xzyk5n8-cdc-1av3o95yqcv7c,prod-dataplatform-1-s3-1csjwk5vdd3iq-cdc-3fekna0c13dq,,,,
dev-dataplatform-1-s3-nzvr3xzyk5n8-code-x830kgt4mg3r,prod-dataplatform-1-s3-1csjwk5vdd3iq-code-2m6jhhg96nqo,,,,
dev-dataplatform-1-s3-nzvr3xzyk5n8-staging-1vyzj1dgaecc3,prod-dataplatform-1-s3-1csjwk5vdd3iq-staging-ezfpj0epfjkq,,,,
aws-logs-038374183314-us-west-1,prod-pcap-logs-us-west-1,,,,
aws-logs-038374183314-us-west-2,prod-pcap-logs-us-west-2,,,,
dev-qualtrics,prod-qualtrics,,,,
smartsheet-archive-delivery-management,progressfindb-archive,,,,
s3hub-a8232000239e35817daa3f8061a67f3cd5f9ac3c78e1001434d5ea19f,s3hub-cf8ab2e45888477ecf8de697df06d5047bd3644dacd91d07ad2e90bba,,,,
qa4-app-risk-credit-profiles,stage1-app-risk-credit-profiles,,,EngineeringMark Wong,
dev2-app-documentos,stage-app-documentos,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
dev1-app-jobs,stage-app-jobs,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
aws-logs-038374183314-us-west-1,stage-pcap-logs-us-west-1,,,,
aws-logs-038374183314-us-west-2,stage-pcap-logs-us-west-2,,,,
pf-atlassian-backup,surveillance-backup,Shared Services,Walter Ferreira,,
dev2-app-documentos,train1-app-documentos,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
dev1-app-jobs,train1-app-jobs,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
qa4-app-risk-credit-profiles,train1-app-risk-credit-profiles,,,EngineeringMark Wong,
dev2-app-documentos,train2-app-documentos,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
dev1-app-jobs,train2-app-jobs,ZEUS application development teams,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,EngineeringNishant SononeNarasiman Ramamoorthy,
qa4-app-risk-credit-profiles,train2-app-risk-credit-profiles,,,EngineeringMark Wong,
oportun-yum-repo,transcribe-record-repo,DevOps,DevOps,,
pf-aws-prod,wd-report-files-prod,,,HRIS,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-restricted-prod-ucpbatch,Servicing,Karuna Kandagatla or Jessica Velazquez,data_engineering,
